id_left,left,id_right,right,label
1301,"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
",1170,"發佈九十二∕九十三年度中株期各蕉區葉部病害第一次防治情報
",like
1301,"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
",1304,"梅雨季高溫潮濕，請加強注意防範香蕉葉部病害，以確保香蕉品質及產量。香蕉所、防檢局及田邊好幫手關心您。
",like
1301,"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
",1178,"發佈94／95年期各蕉區葉部病害第2次防治情報
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",806,"水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",1049,"發佈水稻螟蟲(二化螟蟲、三化螟蟲)及水稻水象鼻蟲防治警報，苗栗場籲請農友注意防治
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",482,"水稻水象鼻蟲發生嚴重請農民加強防治
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",1054,"苗栗地區發布水稻水象鼻蟲及螟蟲(二化螟蟲、三化螟蟲)蟲害防治警報，苗栗區農改場、防檢局及田邊好幫手關心您。
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",55,"苗栗地區發布水稻水象鼻蟲防治警報，籲請農友注意防範。苗栗區農改場、防檢局及田邊好幫手關心您。
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",906,"發佈水稻水象鼻蟲疫情警報
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",805,"發佈水稻水象鼻蟲防治警報，苗栗場籲請農友參考警報內容注意防治。
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",838,"花蓮區作物病蟲害疫情警報第1號 
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",858,"水稻水象鼻蟲蠢蠢欲動，注意防治
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",480,"苗栗地區一期水稻栽培插秧期，請農民加強防治水稻水象鼻蟲
",like
924,"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
",556,"水稻插秧季節請留意水稻水象鼻蟲為害及防治
",like
438,"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
",1007,"乍暖還寒，防檢局籲請農友加強防治稻熱病
",like
438,"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
",510,"苗栗水稻好發白葉枯病，籲請農友加強防治作業。苗栗縣政府、防檢局及田邊好幫手關心您。
",like
438,"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
",893,"稻熱病已零星發生，屏東縣政府籲請農友加強注意防範稻熱病，屏東縣政府、防檢局及田邊好幫手關心您。
",like
438,"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
",988,"雨後適合稻熱病發生，請持續進行監測並指導農民防治
",like
438,"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
",1015,"稻熱病蠢蠢欲動、防檢局籲請農友加強防範
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",1076,"氣候條件適合水稻葉稻熱病發生與蔓延，臺中區農業改良場籲請農民及時防治。臺中區農改場、防檢局及田邊好幫手關心您。
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",986,"苗栗區農業改良場發佈水稻白葉枯病警報
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",261,"中部地區氣候條件適合水稻葉稻熱病發生，籲請農民加強防治作業。臺中區農業改良場、防檢局及田邊好幫手關心您。
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",691,"颱風過後連續下雨台南區農改場籲請農友做好水稻白葉枯病防治工作
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",1127,"中部地區一期稻作葉稻熱病發生警報
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",476,"水稻白葉枯病警報
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",375,"水稻白葉枯病發生風險提高，請注意田間病徵，及早加強防範措施，避免產量損失。台南農改場、防檢局及田邊好幫手關心您。
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",121,"高雄場表示近日連續午後降雨，籲請農友注意防範水稻病蟲害
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",49,"苗栗地區發布水稻白葉枯病防治警報，籲請農友注意防範。苗栗區農改場、防檢局及田邊好幫手關心您。
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",759,"連日大雨，台南區農改場籲加強水稻白葉枯病防治
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",816,"近日宜蘭防疫所監測縣內水稻田區，發現白葉枯病已現，籲請農民加強防範工作。宜蘭縣政府、防檢局及田邊好幫手關心您。
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",790,"颱風過後，台南農改場籲加強水稻白葉枯病防治
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",163,"降雨頻繁，高雄場籲請農友加強水稻白葉枯病防範。高雄區農改場、防檢局及田邊好幫手關心您。
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",911,"發佈水稻白葉枯病疫情警報
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",562,"請注意防治白葉枯病  確保水稻產量與品質
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",235,"水稻葉片已出現葉稻熱病初期病斑，籲請農民及時防治。臺中區農改場、防檢局及田邊好幫手關心您。
",like
344,"早晚溫差大濕度高，臺南場籲請農友加強水稻稻熱病與白葉枯病防治。
",129,"連日豪雨水稻白葉枯病易發生，請農友加強注意病徵，及時防範，避免損失。高雄農改場、防檢局及田邊好幫手關心您。
",like
