left,right,label
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","發佈九十二∕九十三年度中株期各蕉區葉部病害第一次防治情報
",like
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","梅雨季高溫潮濕，請加強注意防範香蕉葉部病害，以確保香蕉品質及產量。香蕉所、防檢局及田邊好幫手關心您。
",like
"香蕉所表示近日低溫細雨香蕉葉部病害易發生，防檢局籲請農友加強注意病徵，以及時進行防治
","發佈94／95年期各蕉區葉部病害第2次防治情報
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","水稻水象鼻蟲及螟蟲(二化螟、三化螟)已於田間發生，請加強防治措施，避免損失。
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","發佈水稻螟蟲(二化螟蟲、三化螟蟲)及水稻水象鼻蟲防治警報，苗栗場籲請農友注意防治
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","水稻水象鼻蟲發生嚴重請農民加強防治
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","苗栗地區發布水稻水象鼻蟲及螟蟲(二化螟蟲、三化螟蟲)蟲害防治警報，苗栗區農改場、防檢局及田邊好幫手關心您。
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","苗栗地區發布水稻水象鼻蟲防治警報，籲請農友注意防範。苗栗區農改場、防檢局及田邊好幫手關心您。
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","發佈水稻水象鼻蟲疫情警報
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","發佈水稻水象鼻蟲防治警報，苗栗場籲請農友參考警報內容注意防治。
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","花蓮區作物病蟲害疫情警報第1號 
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","水稻水象鼻蟲蠢蠢欲動，注意防治
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","苗栗地區一期水稻栽培插秧期，請農民加強防治水稻水象鼻蟲
",like
"二期作水稻已陸續完成插秧，請留意防治水稻水象鼻蟲
","水稻插秧季節請留意水稻水象鼻蟲為害及防治
",like
"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
","乍暖還寒，防檢局籲請農友加強防治稻熱病
",like
"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
","苗栗水稻好發白葉枯病，籲請農友加強防治作業。苗栗縣政府、防檢局及田邊好幫手關心您。
",like
"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
","稻熱病已零星發生，屏東縣政府籲請農友加強注意防範稻熱病，屏東縣政府、防檢局及田邊好幫手關心您。
",like
"臺南區農改場籲請農友注意水稻白葉枯病、稻熱病、紋枯病與葉鞘腐敗病之發生與防治。臺南區農改場、防檢局及田邊好幫手關心您。
","雨後適合稻熱病發生，請持續進行監測並指導農民防治
",like
